-  83% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-  77% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   4% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   2% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   2% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=66304)
-   1% jaxagent_policy                             (min=0.0s, mean=0.0s, max=0.0s, n=280)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=66233)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=71616)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5376)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=5447)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=4480)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
