-  82% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.1s, n=10128)
-  60% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=10128)
-  16% replay_sample                      (min=0.0s, mean=0.0s, max=0.0s, n=10129)
-   8% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=10129)
-   5% replay_update                      (min=0.0s, mean=0.0s, max=0.1s, n=10128)
-   3% jaxagent_policy                    (min=0.0s, mean=0.0s, max=0.0s, n=633)
-   3% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.1s, n=153733)
-   3% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=153603)
-   1% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=161920)
-   1% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=10129)
-   1% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=10128)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=10128)
-   0% replay_sample/get_compose          (min=0.0s, mean=0.0s, max=0.0s, n=8461)
-   0% replay_update/set_compose          (min=0.0s, mean=0.0s, max=0.0s, n=8315)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=10128)
-   0% nvsmi_stats                        (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=9104)
-   0% replay_add/get_compose             (min=0.0s, mean=0.0s, max=0.0s, n=1024)
-   0% jsonl                              (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% jaxagent_report                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/complete_chunk          (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_write                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                   (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput           (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput           (min=0.0s, mean=0.0s, max=0.0s, n=1)
