-  62% jaxagent_train                     (min=0.0s, mean=0.0s, max=0.0s, n=4193)
-  58% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.0s, n=4193)
-  11% replay_sample                      (min=0.0s, mean=0.0s, max=5.8s, n=4195)
-   2% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4195)
-   2% jaxagent_policy                    (min=0.0s, mean=0.0s, max=1.2s, n=390)
-   2% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=4192)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=67072)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=67120)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6240)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=67040)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=6240)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=4195)
-   0% jaxagent_load                      (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% checkpoint_save                    (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=4193)
-   0% checkpoint_save/jaxagent_save      (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=5216)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.0s, max=0.0s, n=3)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
